[progress][group-start] 1/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct
swipl: /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/../../../libtinfo.so.6: no version information available (required by /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/libswipl.so.10)
/home/yuancheng/workspace/GGP/graduation_thesis/src/nn/inference.py:42: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location=device)
/home/yuancheng/anaconda3/envs/ggp_thesis/lib/python3.10/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=14/50 winner=a score_a=100.0 score_b=0.0 ply=98 elapsed_sec=49.78
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=15/50 winner=b score_a=0.0 score_b=100.0 ply=30 elapsed_sec=15.25
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=16/50 winner=a score_a=100.0 score_b=0.0 ply=72 elapsed_sec=36.52
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=17/50 winner=b score_a=0.0 score_b=100.0 ply=38 elapsed_sec=19.26
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=18/50 winner=a score_a=100.0 score_b=0.0 ply=80 elapsed_sec=40.69
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=19/50 winner=b score_a=0.0 score_b=100.0 ply=38 elapsed_sec=19.34
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=20/50 winner=a score_a=100.0 score_b=0.0 ply=82 elapsed_sec=41.63
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=21/50 winner=b score_a=0.0 score_b=100.0 ply=32 elapsed_sec=16.28
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=22/50 winner=a score_a=100.0 score_b=0.0 ply=72 elapsed_sec=36.63
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=23/50 winner=b score_a=0.0 score_b=100.0 ply=44 elapsed_sec=22.37
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=24/50 winner=a score_a=100.0 score_b=0.0 ply=82 elapsed_sec=41.62
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=25/50 winner=b score_a=0.0 score_b=100.0 ply=32 elapsed_sec=16.27
