agent_a_key,agent_b_key,gate_type,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_mean_budget_ok_rate_a,mean_mean_fast_calls_a,mean_mean_fast_eval_time_a,mean_mean_leaf_eval_a,mean_mean_slow_call_ratio_a,mean_mean_slow_calls_a,mean_mean_slow_eval_time_a,mean_mean_slow_trigger_rate_a,mean_mean_u_fast_max_a,mean_mean_u_fast_mean_a,mean_mean_u_fast_p50_a,mean_mean_u_fast_p90_a,mean_mean_u_fast_p95_a,mean_mean_uncertainty_ok_rate_a,mean_mean_visit_ok_rate_a,mean_next_cache_hit_rate,mean_win_rate_a,n_games,slow_budget_per_move,tau,uncertainty_type,visit_threshold
two_stage_neural_mcts,pure_mct,combined,0.35624211732507455,0.3506954137760393,57.2,70.0,30.0,0.0,0.4524659204255791,0.9666064883301575,6325.6,0.0002380208832820217,6325.6,0.04999002535026612,333.6,0.004010905257323179,0.04874642755444036,0.0005404612424113464,0.00032658609401550623,0.00032658609401550623,0.0005404612424113464,0.0005404612424113464,0.4966129131690848,0.12076557449728376,0.02613993710691824,0.7,1,8,0.0004,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3552445910766117,0.3531643943248609,39.7,60.0,40.0,0.0,0.756364474138924,0.06532057321528775,4188.4,0.00026176056498397805,4188.4,0.03703185179422596,156.8,0.0040846736383539205,0.03732604183730729,0.0005375432673437299,0.00032482284069596066,0.00032482284069596066,0.0005375432673437299,0.0005375432673437299,0.4939316772447132,0.9878633544894264,0.05022050716648291,0.6,1,4,0.0005,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.3541618662751689,0.35504590178038986,68.0,50.0,50.0,0.0,0.43988603988603986,0.07635107196717429,6267.6,0.0003266175204229164,6267.6,0.043152631937637374,270.0,0.0048944565875714925,0.04362918398124245,0.0005405720639268671,0.0003266530604564767,0.0003266530604564767,0.0005405720639268671,0.0005405720639268671,0.4967147435897436,0.9934294871794872,0.0312634570665748,0.5,1,4,0.0005,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.348590551336787,0.3611389093669242,54.6,30.0,70.0,0.0,0.7666532770971414,0.16653860422828567,4852.8,0.0003257572246988172,4852.8,0.08912426375059383,432.8,0.004743619285414545,0.08882058892175236,0.0005335848865902508,0.0003224308983928695,0.0003224308983928695,0.0005335848865902508,0.0005335848865902508,0.49029444511193876,0.9805888902238775,0.055904961565338925,0.3,1,8,0.0005,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35323894780307985,0.3548911276814587,55.4,50.0,50.0,0.0,0.42871488668747454,0.15653073536657308,5324.6,0.00029330769461863245,5324.6,0.08291113316734203,439.2,0.004429015151573994,0.0834830588621723,0.0005396609097773405,0.0003261024746764265,0.0003261024746764265,0.0005396609097773405,0.0005396609097773405,0.49587751257106094,0.9917550251421219,0.028480698620621216,0.5,1,8,0.0005,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35235533063057883,0.35722476798672365,43.4,50.0,50.0,0.0,0.7533485788957857,0.9436868374213901,4495.8,0.00027961003537093097,4495.8,0.019236011509237542,85.0,0.004293667966144668,0.017914943619072907,0.0005354833763693706,0.0003235781043585088,0.0003235781043585088,0.0005354833763693706,0.0005354833763693706,0.4920389079260047,0.07254488764804805,0.05048994326972666,0.5,1,4,0.0005,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.35496085608659694,0.35477404685473113,65.7,60.0,40.0,0.0,0.44633566225657795,0.9811954426615802,6136.6,0.0003340513196414416,6136.6,0.007314364908607098,45.2,0.004784434165470495,0.006735231640545444,0.0005406407548439041,0.00032669456851760863,0.00032669456851760863,0.0005406407548439041,0.0005406407548439041,0.4967778615226148,0.024419670638534,0.030902829764934872,0.6,1,4,0.0005,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3482033699840154,0.3629914496053132,45.4,50.0,50.0,0.0,0.76943846770451,0.9739369804058491,4111.8,0.00035303547335136496,4111.8,0.004572779234761486,23.2,0.005614281225610863,0.004211023118753229,0.0005304401517037138,0.0003205306202550216,0.0003205306202550216,0.0005304401517037138,0.0005304401517037138,0.4874048466900803,0.009161611147335765,0.052108620786992604,0.5,1,8,0.0005,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.3558370625078955,0.3539778710714101,64.1,60.0,40.0,0.0,0.45017906580986006,0.986179669572965,5901.0,0.00033399845997238484,5901.0,0.014579882111442205,109.2,0.010411286566461172,0.013897512620159477,0.0005408037750413104,0.0003267930772085909,0.0003267930772085909,0.0005408037750413104,0.0005408037750413104,0.49692765567765573,0.03487898712400221,0.03175734291733796,0.6,1,8,0.0005,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.356634941264362,0.3533969630481131,44.3,80.0,20.0,0.0,0.7570217382569213,0.9836191766679571,4169.0,0.00031991244045970625,4169.0,0.0,0.0,0.0,0.0,0.0005352338090538032,0.000323427297587571,0.000323427297587571,0.0005352338090538032,0.0005352338090538032,0.0,0.9836191766679571,0.0521637686795178,0.8,1,4,0.0006,variance_head,0
